Votes,Score,English_Name,Favourites_count,Popularity_ranking
759095,10,Death Note,3603419,2
756201,9,Death Note,3603419,2
591049,8,Death Note,3603419,2
280134,7,Death Note,3603419,2
93191,6,Death Note,3603419,2
37842,5,Death Note,3603419,2
14179,4,Death Note,3603419,2
5031,3,Death Note,3603419,2
3027,2,Death Note,3603419,2
5030,1,Death Note,3603419,2
703332,10,Shingeki no Kyojin,,1
742655,9,Shingeki no Kyojin,,1
665482,8,Shingeki no Kyojin,,1
304515,7,Shingeki no Kyojin,,1
92472,6,Shingeki no Kyojin,,1
39044,5,Shingeki no Kyojin,,1
14889,4,Shingeki no Kyojin,,1
5935,3,Shingeki no Kyojin,,1
3509,2,Shingeki no Kyojin,,1
8210,1,Shingeki no Kyojin,,1
946768,10,Fullmetal Alchemist: Brotherhood,212358,3
539531,9,Fullmetal Alchemist: Brotherhood,212358,3
274949,8,Fullmetal Alchemist: Brotherhood,212358,3
98477,7,Fullmetal Alchemist: Brotherhood,212358,3
29285,6,Fullmetal Alchemist: Brotherhood,212358,3
13922,5,Fullmetal Alchemist: Brotherhood,212358,3
5027,4,Fullmetal Alchemist: Brotherhood,212358,3
2434,3,Fullmetal Alchemist: Brotherhood,212358,3
3030,2,Fullmetal Alchemist: Brotherhood,212358,3
40143,1,Fullmetal Alchemist: Brotherhood,212358,3
290872,10,Sword Art Online,65956,5
289378,9,Sword Art Online,65956,5
396132,8,Sword Art Online,65956,5
408849,7,Sword Art Online,65956,5
254197,6,Sword Art Online,65956,5
164855,5,Sword Art Online,65956,5
105314,4,Sword Art Online,65956,5
55905,3,Sword Art Online,65956,5
31576,2,Sword Art Online,65956,5
29322,1,Sword Art Online,65956,5
462470,10,One Punch Man,2964485,4
636714,9,One Punch Man,2964485,4
597941,8,One Punch Man,2964485,4
259203,7,One Punch Man,2964485,4
69581,6,One Punch Man,2964485,4
25572,5,One Punch Man,2964485,4
7959,4,One Punch Man,2964485,4
3146,3,One Punch Man,2964485,4
1911,2,One Punch Man,2964485,4
3491,1,One Punch Man,2964485,4
244016,10,Boku no Hero Academia,,6
402001,9,Boku no Hero Academia,,6
600803,8,Boku no Hero Academia,,6
431826,7,Boku no Hero Academia,,6
146309,6,Boku no Hero Academia,,6
58378,5,Boku no Hero Academia,,6
