title,release_date,length,genre,critic_rating,release_year,runtime_minutes,clean_title,title_popularity,snapshot_date,mal_votes_total,mal_weighted_score,mal_favourites,mal_popularity_rank,log_mal_votes,log_mal_favourites,mal_popularity_score,rating_gap,cluster
Fullmetal Alchemist: Brotherhood,(2009-2010),24 min,"Animation, Action, Adventure",9.1,2009.0,24.0,fullmetal alchemist brotherhood,Fullmetal Alchemist: Brotherhood,2023-03-16,1976420,8.969713927201708,214254.0,3,14.496798191276762,12.274922173410587,0.3333333333333333,-0.13028607279829174,0
One Piece,(1999- ),24 min,"Animation, Action, Adventure",8.9,1999.0,24.0,one piece,One Piece,2023-03-16,1190752,8.710162989438606,191920.0,21,13.990096438080466,12.164839108004378,0.047619047619047616,-0.18983701056139424,0
Cowboy Bebop,(1998-1999),650 min,"Animation, Action, Adventure",8.9,1998.0,650.0,cowboy bebop,Cowboy Bebop,2023-03-16,895402,8.715775707447605,,43,13.705029175241286,0.0,0.023255813953488372,-0.18422429255239514,0
Dragon Ball Z,(1989-1996),24 min,"Animation, Action, Adventure",8.8,1989.0,24.0,dragon ball z,Dragon Ball Z,2023-03-16,801622,8.170140041066738,35494.0,109,13.594393701515882,10.477147120473486,0.009174311926605505,-0.6298599589332632,0
Steins;Gate,(2011-2015),24 min,"Animation, Comedy, Drama",8.8,2011.0,24.0,steinsgate,Steins;Gate,2023-03-16,1311871,8.972047556505174,,13,14.08696568275118,0.0,0.07692307692307693,0.17204755650517356,0
Haikyuu!!,(2014-2020),24 min,"Animation, Comedy, Drama",8.7,2014.0,24.0,haikyuu,Haikyuu!!,2023-03-16,1142309,8.412132794191415,,36,13.948563085951426,0.0,0.027777777777777776,-0.2878672058085847,0
Jujutsu Kaisen,(2020- ),24 min,"Animation, Action, Adventure",8.6,2020.0,24.0,jujutsu kaisen,Jujutsu Kaisen,2023-03-16,1405001,8.632660759672056,2170632.0,17,14.155549284236514,14.590529388048115,0.058823529411764705,0.03266075967205673,0
Mob Psycho 100,(2016-2022),24 min,"Animation, Action, Comedy",8.6,2016.0,24.0,mob psycho 100,Mob Psycho 100,2023-03-16,1174233,8.464894105343658,44399.0,33,13.976126578077867,10.700994748420316,0.030303030303030304,-0.13510589465634126,0
Fullmetal Alchemist,(2003-2004),24 min,"Animation, Action, Adventure",8.5,2003.0,24.0,fullmetal alchemist,Fullmetal Alchemist,2023-03-16,859470,8.100421189803019,25293.0,74,13.664072362688986,10.138322492439922,0.013513513513513514,-0.3995788101969815,0
Naruto,(2002-2007),24 min,"Animation, Action, Adventure",8.4,2002.0,24.0,naruto,Naruto,2023-03-16,1850157,7.963489584937927,74942.0,8,14.430781598813079,11.22448310357204,0.125,-0.4365104150620738,0
Black Clover,(2017-2021),24 min,"Animation, Action, Adventure",8.3,2017.0,24.0,black clover,Black Clover,2023-03-16,758949,7.840939246247113,,66,13.539691178055005,0.0,0.015151515151515152,-0.4590607537528877,1
Tengen toppa gurren lagann,-2007.0,24 min,"Animation, Action, Adventure",8.3,2007.0,24.0,tengen toppa gurren lagann,Tengen Toppa Gurren Lagann,2023-03-16,856622,8.557681217619907,,64,13.660753194141492,0.0,0.015625,0.2576812176199059,1
Yakusoku no Neverland,(2019-2021),23 min,"Animation, Action, Adventure",8.2,2019.0,23.0,yakusoku no neverland,Yakusoku no Neverland,2023-03-16,1196750,8.501367871318154,,38,13.995120942850813,0.0,0.02631578947368421,0.30136787131815446,1
